Unnamed: 0,edit_history_tweet_ids,tweetid,message,my_label,sentiment,df_index,hashtag,trained_on
7,[1596157241094066176],1596157241094066176,"&gt;王毅はプーチンに核兵器の使用を思いとどまらせるためにモスクワでの中国のかなりの影響力を利用することを約束したが、その見返りにNATOはウクライナに戦略兵器を提供しないことを確認した.
 https://t.co/BKENc62M8e",,,7,[],0.0
2,[1596157243346804736],1596157243346804736,@JoeD52282331 @thehill Your a lot better off now under Biden Right,,,2,[],0.0
6,[1596157241304178688],1596157241304178688,RT @RepMarkGreen: A wide open border means disaster for Tennessee families. Every state is a border state thanks to President Biden.,,,6,[],0.0
8,[1596157240863506432],1596157240863506432,"RT @Carloslopezjone: El Cartel de Sinaloa financió la campaña de ⁦@lopezobrador_⁩ 
.
Los fiscales de USA 🇺🇸 dicen tener pruebas 
.
Por eso…",,,8,[],0.0
5,[1596157242281463811],1596157242281463811,"RT @lindyli: Republicans are attacking Special Counsel Jack Smith’s wife for donating to Biden

These are the same ppl who don’t care that…",,,5,[],0.0
4,[1596157242721861638],1596157242721861638,RT @NEWSMAX: Musk agrees: Twitter should release all internal discussions about censoring the New York Post's bombshell Hunter Biden story…,,,4,[],0.0
9,[1596157239236366336],1596157239236366336,"Fact  Check and Predict: the Road to Wisdom.
Trickle Truth the Road to Accountability and Transparency
Follow the thread. Predict and measure yourself against reality. FBI? Biden Mafia? RICO? Corruption? Psychopaths Hijack the Government? Prison for Biden?
https://t.co/aQzTWmchBb",-1.0,,9,[],1.0
3,[1596157243153842176],1596157243153842176,"@POTUS @JoeBiden The Turkey smell is already fuming into the basement. It’s impossible to explain to my MAGA parents that we shouldn’t be celebrating the murder of millions of Native Americans today. Joe Biden needs to BAN Thanksgiving, this holiday is sickening. ESPECIALLY for vegans!!! 🤮😷",0.0,,3,[],1.0
0,[1596157243959169024],1596157243959169024,"RT @JustTheNews: Border Patrol suicides spike as frustration, despair with Biden immigration policy mounts | Just The News https://t.co/ZGx…",-1.0,,0,[],1.0
1,[1596157243908571136],1596157243908571136,@NBCNews This whole Biden Build Back Better thing sucks,-1.0,,1,[],1.0
