,edit_history_tweet_ids,id,text
0,[1605677687003045889],1605677687003045889,RT @chicnrush: Emily in paris s3 nya udah tayang toh!?!?!? Akkkk
1,[1605677681072173057],1605677681072173057,esperei tanto por essa temporada de emily in paris mas nesse meio tempo virei dorameira e agora tô com 0 vontade de ver
2,[1605677674545963018],1605677674545963018,RT @hannahtindle: Watching Emily in Paris is like receiving a lobotomy via audiovisual material which is exactly what I want from a TV show
3,[1605677663753945088],1605677663753945088,BITCH ITS EMILY IN PARIS TIMEEEEEEEE
4,[1605677662185218050],1605677662185218050,RT @ifcollins: lily collins as emily cooper in emily in paris s3. that's it. that's the tweet. https://t.co/UjgQUJucnF
5,[1605677661648478215],1605677661648478215,"Emily in Paris proper hits the spot for me. It’s got my three loves: Marketing, The French Language and Drama"
6,[1605677654404915200],1605677654404915200,RT @LlCerys: First episode of season 3 of Emily in Paris and I still wanna smack Emily https://t.co/m7KAeeH82Y
7,[1605677648935542808],1605677648935542808,passei um ano esperando temporada nova de emily in paris pra assistir tudo em meio dia https://t.co/N7AYgS3sKQ
8,[1605677635035492353],1605677635035492353,RT @Netflix_CA: happy Emily In Paris S3 Day to all who celebrate! https://t.co/QszrcHmKZu
9,[1605677630715400192],1605677630715400192,e vamos de emily in paris 🫶💓
