,edit_history_tweet_ids,id,text
0,[1605676765451415552],1605676765451415552,"RT @AlbicelesteTalk: Facundo Medina with his Lens teammates in France 😂😂

 https://t.co/pXn8KTg8MB"
1,[1605676765166329863],1605676765166329863,"RT @f_philippot: L’ex-patron d’EDF l’avoue : l’Allemagne a « délibérément saccagé EDF » depuis 30 ans !

En ce moment, via le SCAF, l’Allem…"
2,[1605676764998557701],1605676764998557701,"RT @2022Elections: 🔴⚡️ SUIVI | Finalement, l'ex ministre Le Drian a refusé le poste proposé par la Défense saoudienne.

https://t.co/Q7IKEP…"
3,[1605676764700692480],1605676764700692480,"@CaudeHenrion @france_soir Miss HenrionCaude 
De le véritable intelligence,de la classe de l’élégance,des compétences,l’expérience l’https://t.co/hH3rK1X88J beauté simple à la mystique féminine 10,5 sur l’échelle d Aphrodite…. Avec une grosse carrière a réussi à être aussi mamans
 
Biographie Wikipedia https://t.co/RYW6YGESrT"
4,[1605676764197539840],1605676764197539840,RT @Rossmac212: He dreamt he was in the Tour De France😂                         https://t.co/umqR7x7QAG
5,[1605676759386505216],1605676759386505216,"@sachaandre3309 Oh mon dieu !
Bienvenue en France le boulot le week-end entier et jours fériés je le fait à 18 ans, en touchant 722€/Mois (apprentissage)
Donc la SNCF qui font 24h des grèves + des PV pour rien merci mais je comprends pourquoi tout le monde passent le permis.."
6,[1605676759008976896],1605676759008976896,"RT @_BeFootball: 🚨 Karim Benzema a unfollow sur Instagram tous les joueurs de l'Équipe de France, hormis Camavinga, Mbappé, Thuram et Varan…"
7,[1605676758908428295],1605676758908428295,"RT @MarieGentric: Lors du rassemblement pour accueillir les joueurs 🇦🇷 beaucoup de supporters insulté MBappe, parfois à notre micro. Certai…"
8,[1605676757012471808],1605676757012471808,"RT @WW2Facts: German general Erwin Rommel inspecting the 21st Panzer Division in Normandy, France, on May 30, 1944.

#History #WWII https:/…"
9,[1605676755682934784],1605676755682934784,RT @skinnyniggr: Aubameyang after scoring the only goal for Gabon in a 7-1 thumping against France https://t.co/mQtAb604NJ
