,edit_history_tweet_ids,id,text
0,[1605677045249368065],1605677045249368065,"RT @Radio_Metronome: Depuis que Lionel Messi a soulevé la Coupe du monde avec le bisht, manteau traditionnel arabe noir et or, les ventes e…"
1,[1605677044435599360],1605677044435599360,RT @FabrizioRomano: 🚨🇦🇷 Paris Saint-Germain reached a verbal agreement with Lionel Messi to extend the contract. It’s a verbal pact to cont…
2,[1605677041952559104],1605677041952559104,RT @FabrizioRomano: 🚨🇦🇷 Paris Saint-Germain reached a verbal agreement with Lionel Messi to extend the contract. It’s a verbal pact to cont…
3,[1605677040052510720],1605677040052510720,RT @dna_blaugrana: 🚨ℹ️ Joan Laporta chamará Lionel Messi nos próximos dias e fará tudo ao seu alcance para trazê-lo de volta ao FC Barcelon…
4,[1605677039381463041],1605677039381463041,"RT @FIFAWorldCup: Six years ago, Enzo Fernandez penned an open letter asking his hero, Lionel Messi, to reconsider retirement from internat…"
5,[1605677037921918977],1605677037921918977,RT @ManagingBarca: ❗| Brazil have officially invited Lionel Messi to eternalize him in the ‘Hall of Fame’ of the Maracanã stadium - their h…
6,[1605677034113335296],1605677034113335296,"RT @Futbool_Fotos: Pep Guardiola: ""Nadie puede dudar que Lionel Messi es el más grande de todos los tiempos. Sin ganar el Mundial, eso no h…"
7,[1605677031571742720],1605677031571742720,"“Hicieron Copas Américas para que gane una Messi”, decían luego de que Lionel sea campeón siendo MVP.

“La Finalisima es una copa inventada”, decían luego de que Lionel le pegue un baile descomunal a Italia.

Preparense para que subestimen el MUNDIAL siendo el MVP indiscutido…"
8,[1605677030539870208],1605677030539870208,"RT @ESPN_FDJ: 👏 Lionel Messi fue invitado a dejar la marca de sus pies en el icónico salón de la fama del Estadio Maracaná....

🔝 Un premio…"
9,[1605677024638558213],1605677024638558213,"RT @ESPNFC: Lionel Messi has been invited to ""eternalize"" his mark at Brazil's famous Maracana by leaving his footprints in the iconic stad…"
