Unnamed: 0,edit_history_tweet_ids,tweetid,message,my_label,sentiment,trained_on,df_index,hashtag
8,[1605713683002363910],1605713683002363910,"@TheRealErhardt @tagesschau Mit Stimmung meine ich eine Menge Menschen, die gemeinsam in den Innenstädten feiern. Verdreh nicht meine Worte. Aber um es auf den Punkt zu bringen, die WM in Qatar hätte nie dort stattfinden dürfen egal wie friedlich oder Menschenverachtend sie war!",,,0.0,8,[]
48,[1605709655216381952],1605709655216381952,"@Travel6919 @tagesschau Nein, haben sie nicht. Mumien wurden zB auf Parties ausgewickelt, Funde an Privatleute verkauft, ganzes Schiff ist m Schàtzen untergegangen. Insgesamt ging es damaligen Archàologen um Schatzsuche und Profit, nicht um Erhalt.  Da ist sehr viel zerstört worden",,,0.0,48,[]
39,[1605710251335897088],1605710251335897088,"@CDG_GTR @tagesthemen @tagesschau @gudrun_engel !!!! 
Hab ich auch gedacht. Meint sie die US-Republikaner?? Diese?
Man weiss bei diesem Kommentar gar nicht, welche Falschbehauptung man als erstes ansprechen soll, es trifft einfach soviel Murks aufeinander.",,,0.0,39,[]
86,[1605707980317417472],1605707980317417472,"@MaxMust44028455 @Viktor_Funk @tagesthemen @tagesschau @gudrun_engel schöne Grafik, über militärische . Rechnen wir alle anderen Bereiche mal zusammen, rutscht die USA nach unten, profitiert dannach am meisten, wie immer. Zündeln, kaputtmachen und andere reparieren lassen , sich aber die besten Stücke dannach gönnen, die alte Ami Wirtschaftstaktik",,,0.0,86,[]
80,[1605708139864522752],1605708139864522752,"@Zynismusexperte @stein_hajo @BuddyBe74394764 @tagesschau @ABaerbock Nee, nix Schuldkult. Gehandelt und profitiert haben alle. Klar macht man sich schuldig, wenn man wissentlich Hehlerware kauft",,,0.0,80,[]
44,[1605709764691759104],1605709764691759104,"@tagesschau Lass die 🇺🇸 mal zahlen als größter Gewinner des Krieges, sie haben alle Ziele erreicht, Schwächung der🇩🇪Wirtschaft, Verkauf des eigenen teuren Öls, Gas und Rüstungsgüter,  Stop NS 1,2, und in dem Moment, als in 🇩🇪 die ersten Rufe nach Öffnung NS 2 kamen, wird sie sabotiert??🇺🇸!!!",,,0.0,44,[]
37,[1605710390490320896],1605710390490320896,"RT @tobiasmoehlen: @konold @tagesschau @BVKJ Da reicht mMn keine Entschuldigung mehr!
Die Hinweise und Beweise aus der Wissenschaft sind se…",,,0.0,37,[]
71,[1605708568023519232],1605708568023519232,@NDRpresse @MarkusL32078761 @tagesschau Erfolgreichste Nachrichtensendung? Das ist Schnee von gestern. Niemals werde ich nochmals das ÖRR einschalten und in meinem Bekanntenkreis tun es auch kaum noch welche. Kein Mensch braucht Hofberichterstatter 🤮,,,0.0,71,[]
26,[1605711468535619584],1605711468535619584,"@svenlehmann @MarcoBuschmann Wie definiert der Gesetzgeber ""queer""? Denn nach dieser Definition in der Tagesschau kenne ich fast niemanden der nicht als ""queer"" gelten würde.
https://t.co/rrMaqFXUvy",,,0.0,26,[]
76,[1605708369750159360],1605708369750159360,@Zynismusexperte @stein_hajo @BuddyBe74394764 @tagesschau @ABaerbock Koloniismusgeschichte war ein systemisches europäisches Vorgehen. Da hängen alle mit drin.,,,0.0,76,[]
