,edit_history_tweet_ids,id,text,my_label,sentiment
0,[1596150466551091202],1596150466551091202,"RT @ambitiouscaring: Welcome back @realDonaldTrump 

Will have HUGE Geopolitical impact.

Massive blow to anti Trump, anti Modi, anti Hindu…",,
1,[1596150466035200001],1596150466035200001,@LoewyLawFirm Glad u have Trump on your mind!  #MAGA,,
2,[1596150464805937154],1596150464805937154,"RT @InnerVoltRock: Dear Twitter— Hate to break it to ya, but actually— 74.2 million Trump voters…out of a country of 332 million people…

……",,
3,[1596150464680181761],1596150464680181761,RT @brokenbottleboy: This man want to see Jews killed. He’s saying it explicitly. That’s the guy that Kanye West is promoting in a chat wit…,,
4,[1596150464113844225],1596150464113844225,"An FBI Expert Just Deconstructed The Donald Trump Case.

https://t.co/jaRCN4ribH",,
5,[1596150464047124480],1596150464047124480,Writer files fresh legal case against Donald Trump alleging rape and defamation:https://t.co/QY8a8gjlhp #sovereign_immunity,,
6,[1596150463933698049],1596150463933698049,@MugsysRapSheet @RealPJones @JamesBradleyCA Trump provided weapons to ukraine...,,
7,[1596150463832895488],1596150463832895488,"Biden Loses To Trump At The Border #MAGA #TRUMP2024 #Trump

https://t.co/2dGNTNd7Fe",,
8,[1596150463665434627],1596150463665434627,"RT @FriendsFeisty: @elonmusk @getpaidwrite First came OWS, then came TeaParty. Together we found an unbeatable strength in ourselves. We di…",,
9,[1596150463551836160],1596150463551836160,@PapiTrumpo Gee! Why isn’t Sleepy Joe doing this? President Trump cared about our military. Can you say that about sleepy Joe? All he cares about is sniffing children.,,
