Unnamed: 0,author_id,created_at,edit_history_tweet_ids,tweetid,message,retweet_count,reply_count,like_count,quote_count,impression_count,profile_urls,user_username,user_name,user_ids,my_label,sentiment,trained_on,df_index,hashtag
44,779419465935192064,2023-01-09 17:56:00+00:00,[1612508501267333120],1612508501267333120,"Erster Arbeitstag (nach dem Urlaub). 🥰
Warum sorgt man sich so oft? 🙄 …
Wenn Patientys tanzen 🎶🥁🪗, scheint die Welt - zumindest für diesen Zeitraum - in Ordnung 🤗 😊😍.
Dann noch eine behütende Nachricht nach der Arbeit.
Der Tag bekommt ein Sternchen. 🌟",0,0,4,0,189,https://pbs.twimg.com/profile_images/1209130752237080579/SG3m5FVt_normal.jpg,nelliecello,Nellie 🎶🇺🇦💚,779419465935192064,,,0.0,44,[]
74,1451637606278733824,2023-01-09 15:25:57+00:00,[1612470741395447809],1612470741395447809,@Guenni_32 @Kirarara_DE @agender_catgirl Das passt ja in Jill's Zeitraum,0,0,2,0,24,https://pbs.twimg.com/profile_images/1609477927787237377/iOOjMlda_normal.jpg,start2_think,Mel Gibbon,1451637606278733824,,,0.0,74,[]
65,1208136921236553738,2023-01-09 16:02:56+00:00,[1612480046291099650],1612480046291099650,@7urz @Immorecht_DUS @Nuklearia @tech_for_future Zwei verschiedene Datensätze für den gleichen Zeitraum (2022 aggregated)? Wie kommt es dazu?,0,2,0,0,215,https://pbs.twimg.com/profile_images/1208137166875955200/LVWLas2n_normal.jpg,christian__runs,Christian,1208136921236553738,,,0.0,65,[]
16,2420592905,2023-01-09 21:14:04+00:00,[1612558346330034178],1612558346330034178,"Update: Die Flugzeiten sagen mir in diesen Zeitraum überhaupt nicht zu.
Deshalb wird es wohl Wien werden.",0,0,0,0,42,https://pbs.twimg.com/profile_images/1603655482454990848/gE_VJM5-_normal.jpg,SamDerKoch,Sam ✌🏻,2420592905,,,0.0,16,[]
8,919253009510658049,2023-01-09 22:24:10+00:00,[1612575988537503744],1612575988537503744,@RaioVtube @tagesschau Wir kommen aus einer heraus könnte man auch sagen. Bisschen Eis ist ja noch da. Blühender Zeitraum der Menschheit Incoming! 😉,0,1,0,0,15,https://pbs.twimg.com/profile_images/1470704378965286918/aOb7DMDF_normal.jpg,Dir_Wam,Mr Wasgeht Siedasan,919253009510658049,,,0.0,8,[]
43,1514581690252992512,2023-01-09 18:02:41+00:00,[1612510184152121349],1612510184152121349,"@Garoniel71 @MDRAktuell Datum vom Foto bitte ...
ich tippe auf
Von November bis ungefähr Ende März denn das ist der ungefähre Zeitraum der Regenzeit",0,0,0,0,4,https://pbs.twimg.com/profile_images/1514765620038062083/i0NwXziC_normal.jpg,ktmandi367,Andi Stern,1514581690252992512,,,0.0,43,[]
7,1108096881123606530,2023-01-09 22:28:10+00:00,[1612576995933622273],1612576995933622273,ob ichs jemals schaffen werde gesunde zwischenmenschliche beziehungen über einen längeren zeitraum hinweg zu führen?? es bleibt spannend,0,1,5,0,131,https://pbs.twimg.com/profile_images/1610442036586418178/Eg5kRACw_normal.jpg,spliffmitsosse,leeben,1108096881123606530,,,0.0,7,[]
71,1369784714358308868,2023-01-09 15:38:11+00:00,[1612473819842678785],1612473819842678785,"@corona_goe @rki_de Für Interessierte als Lesehilfe: warum differieren die Zahlen?

Das GA berechnet seinen 'internen' Wert einen halben Tag später als das RKI - mit der Folge, damit die Neuinfektionen eines GANZEN Tages aus dem 7-Tage-Zeitraum fallen zu lassen! (Sieht dann oft ""besser"" aus. 🪄🤦‍♀️)",0,0,0,0,20,https://pbs.twimg.com/profile_images/1369785540330065921/wLhvSXzP_normal.jpg,AnnaLyst_,Anna.Lyst 😷 4x💉 🌈 🖖,1369784714358308868,,,0.0,71,[]
12,985236071054225408,2023-01-09 21:40:55+00:00,[1612565105866166276],1612565105866166276,"@siegbert_nagl @Stezno388 @Gedankenrebell7 @Deframing23 Und ich schiebe hinterher: wenn durch einen Krieg einer Atommacht binnen einen Jahres 0.017% (=7000) der Bevölkerung umkommen, während im gleichen Zeitraum ca. 500.000 (1.25%) unter anderen Umständen sterben, entspricht das nicht der gängigen Definition eines Vernichtungskrieges.",0,1,0,0,10,https://pbs.twimg.com/profile_images/1264527036749623297/j_XqKGaW_normal.jpg,HannesZander,Hannes Zander,985236071054225408,1.0,,0.0,12,[]
54,113303288,2023-01-09 16:54:41+00:00,[1612493070561382426],1612493070561382426,"@GaiaXFakten @EvaMertes @ralphruthe ""Eine Generation"" wird i.d.R. als Zeitraum-Angabe von ca. 30 Jahren benutzt (M 33J, W 29J). Daher ist das durchaus möglich.",0,0,1,0,75,https://pbs.twimg.com/profile_images/2871511968/c54afee70246e9b8207030c4b3da79ac_normal.jpeg,kaiblaschke,Kai Blaschke,113303288,,,0.0,54,[]
9,1417968159101968392,2023-01-09 22:23:14+00:00,[1612575751806636037],1612575751806636037,@DodontTellMe @Otakundead Lmao ich weiß nicht wie schnell du bremsen kannst aber ich hätte das zumindest in dem zeitraum nicht geschafft mit der geschwindigkeit,0,2,0,0,46,https://pbs.twimg.com/profile_images/1611414028890292229/nJy7o0kW_normal.jpg,grempmaus,Laura 極み✨,1417968159101968392,,,0.0,9,[]
68,772523824009080832,2023-01-09 15:42:05+00:00,[1612474799695212547],1612474799695212547,@energy_charts_d Wie hoch war denn im Zeitraum die gesichert Verfügbare Erzeugung für die einzelnen Erzeuger?,0,0,3,0,226,https://pbs.twimg.com/profile_images/1605593104224079873/Zgm3NUmV_normal.jpg,RainerReelfs,Ingenieur,772523824009080832,,,0.0,68,[]
62,1557023755167227906,2023-01-09 16:13:25+00:00,[1612482687373115392],1612482687373115392,@SWeiermann @bund_nrw Auf der Obstwiese vor 15 Jahren hatten wir -10 Grad. Es waren max. 40 Leute über den Zeitraum da. Man kam auf dem Weg dahin durch das Geisterdorf Holz.,0,0,0,0,3,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,AnPa86848396,An Pa,1557023755167227906,,,0.0,62,[]
2,1349357983336173570,2023-01-09 23:28:47+00:00,[1612592251439300609],1612592251439300609,"@monchichiundich @DoeSpam @manusch_perche Genau, der Zeitraum wäre wohl eine der entscheidenden Variablen. Geht's zu schnell brachen die Handelsketten zusammen, geht's langsam genug könnten wir vllt noch rechtzeitig auf lokale Prod. switchen, dafür müssen wir aber schon sehr schlau handeln. Und da seh ich das Problem.",0,2,13,0,170,https://pbs.twimg.com/profile_images/1500141627125477376/R9jnErCH_normal.jpg,GermanCucumber1,GermanCucumberCT24 @twitname↙@social.dev-wiki.de,1349357983336173570,,,0.0,2,[]
5,1471435891054981121,2023-01-09 22:45:03+00:00,[1612581243173863425],1612581243173863425,"Dem Bericht von Harana zufolge wurden im vergangenen Jahr mindestens 528 Menschen im Iran gehängt, was einem Anstieg von 98 % gegenüber dem gleichen Zeitraum des Vorjahres entspricht. 

#MahsaAmini https://t.co/gHrzgJDED0",5,0,7,0,208,https://pbs.twimg.com/profile_images/1605843683571556370/JTMmPmrf_normal.jpg,ItachiAzadi,Itachi☢️,1471435891054981121,,,0.0,5,['MahsaAmini']
